expense_date,category,amount,description
2026-01-01,Food,450.00,New Year Breakfast
2026-01-02,Travel,60.00,Metro to Work
2026-01-03,Utilities,1200.00,Internet Bill
2026-01-04,Food,200.00,Office Lunch
2026-01-05,Health,1500.00,Monthly Gym Fees
2026-01-06,Shopping,800.00,New Bedding
2026-01-07,Travel,45.00,Bus fare
2026-01-08,Food,300.00,Dinner with friend
2026-01-09,Office,120.00,Notebooks
2026-01-10,Misc,50.00,Laundry
2026-01-11,Food,250.00,Grocery shopping
2026-01-12,Travel,60.00,Metro recharge
2026-01-13,Entertainment,1200.00,Movie night
2026-01-14,Food,180.00,Evening tea/snacks
2026-01-15,Health,350.00,Medicines
2026-01-16,Shopping,500.00,New Shirt
2026-01-17,Food,220.00,Lunch order
2026-01-18,Travel,100.00,Taxi ride
2026-01-19,Utilities,800.00,Mobile Bill
2026-01-20,Food,150.00,Breakfast
2026-01-21,Office,400.00,Wireless Mouse
2026-01-22,Travel,45.00,Bus fare
2026-01-23,Food,350.00,Restaurant dinner
2026-01-24,Misc,100.00,Charity
2026-01-25,Shopping,2000.00,Winter Jacket
2026-01-26,Food,500.00,Republic Day celebration
2026-01-27,Travel,60.00,Metro fare
2026-01-28,Health,200.00,Multivitamins
2026-01-29,Food,120.00,Tea and coffee
2026-01-30,Office,150.00,A4 Paper rim
2026-01-31,Food,600.00,Month-end Treat
