expense_date,category,amount,description
2026-05-01,Food,150.00,Holiday Breakfast
2026-05-02,Travel,60.00,Metro fare
2026-05-03,Health,200.00,Vitamin supplements
2026-05-04,Office,500.00,Office Chair Cushion
2026-05-05,Food,200.00,Canteen Lunch
2026-05-06,Shopping,1800.00,Summer Clothes
2026-05-07,Travel,45.00,Bus ride
2026-05-08,Utilities,1200.00,Electricity Bill
2026-05-09,Food,350.00,Ice cream treat
2026-05-10,Misc,100.00,Car wash
2026-05-11,Travel,60.00,Metro recharge
2026-05-12,Health,450.00,Eye checkup
2026-05-13,Entertainment,600.00,Movie ticket
2026-05-14,Food,220.00,Order from Zomato
2026-05-15,Utilities,800.00,Mobile bill
2026-05-16,Shopping,400.00,New belt
2026-05-17,Travel,100.00,Auto rickshaw
2026-05-18,Office,150.00,Pens and clips
2026-05-19,Food,120.00,Evening Tea
2026-05-20,Health,300.00,Medicine
2026-05-21,Misc,500.00,Gift for friend
2026-05-22,Travel,45.00,Bus fare
2026-05-23,Food,500.00,Weekend Dinner
2026-05-24,Entertainment,300.00,Gaming zone
2026-05-25,Shopping,1000.00,Casual Shoes
2026-05-26,Office,200.00,Diary
2026-05-27,Travel,60.00,Metro
2026-05-28,Utilities,500.00,Water charges
2026-05-29,Food,250.00,Grocery
2026-05-30,Health,100.00,Bandages
2026-05-31,Food,600.00,Family Lunch
